city_name,state,is_saturated,difference
Aberdeen,South Dakota,true,-771
Aberdeen,Washington,true,-947
Abilene,Texas,true,-661
Abingdon,Virginia,true,-593
Abiquiu,New Mexico,true,-619
Accord,New York,true,-1559
Acworth,Georgia,true,-758
Addison,Texas,true,-100
Afton,Oklahoma,true,-755
Afton,Virginia,true,-653
Afton,Wyoming,true,-206
Agoura Hills,California,true,-2105
Ahoskie,North Carolina,true,-294
Ahwahnee,California,true,-967
Aiken,South Carolina,true,-41
Akron,Ohio,true,-376
Alachua,Florida,true,-665
Alameda,California,true,-672
Alamogordo,New Mexico,true,-969
Alamosa,Colorado,true,-375
Alanson,Michigan,true,-1480
Albany,California,true,-1565
Albany,Georgia,true,-340
Albany,New York,true,-393
Albany,Oregon,true,-1856
Albert Lea,Minnesota,true,-523
Albion,California,false,1
Albrightsville,Pennsylvania,true,-1568
Albuquerque,New Mexico,true,-787
Alburgh,Vermont,true,-37
Alexander,North Carolina,true,-744
Alexander City,Alabama,true,-166
Alexandria,Louisiana,true,-192
Alexandria,Minnesota,true,-1389
Alexandria,Virginia,true,-485
Alexandria Bay,New York,false,446
Algoma,Wisconsin,true,-1687
Alhambra,California,false,3794
Aliso Viejo,California,true,-883
Allen,Texas,true,-1020
Allentown,Pennsylvania,true,-281
Alligator Point,Florida,true,-623
Allouez Township,Michigan,true,-127
Alma,Colorado,true,-1519
Almond,North Carolina,true,-1051
Aloha,Oregon,true,-1042
Alpena,Michigan,true,-1515
Alpharetta,Georgia,false,4400
Alpine,California,true,-2067
Alpine,Texas,true,-255
Alpine,Wyoming,true,-1541
Alpine Meadows,California,false,618
Altadena,California,true,-316
Altamont,Tennessee,true,-1444
Altamonte Springs,Florida,true,-394
Altmar,New York,true,-469
Alto,New Mexico,true,-1524
Alton,Illinois,true,-908
Alton,New Hampshire,true,-1513
Alton,Utah,true,-796
Altoona,Pennsylvania,true,-317
Amagansett,New York,true,-7721
Amarillo,Texas,true,-538
Amelia Island,Florida,true,-118
American Fork,Utah,true,-452
Ames,Iowa,true,-44
Amherst,Massachusetts,true,-357
Amherst,Virginia,true,-262
Ammon,Idaho,true,-280
Anaconda,Montana,true,-788
Anacortes,Washington,true,-811
Anaheim,California,true,-316
Anchorage,Alaska,true,-421
Anchor Point,Alaska,true,-377
